"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"183","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",2.1034584718512,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"214","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",2.11960670193035,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"14","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",-2.39919160012042,"No residue","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","Mortierella rishikesha"
"229","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",2.35140262589667,"Wheat","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","Mortierella rishikesha"
"71","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",-2.0582382789841,"Five-speices mix","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","Mortierella rishikesha"
"13","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Neocosmospora|s__rubicola|t__soil_saprotroph",-2.44873949440768,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Neocosmospora","rubicola","soil_saprotroph","Neocosmospora rubicola"
"186","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Neocosmospora|s__rubicola|t__soil_saprotroph",2.50721058899646,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Neocosmospora","rubicola","soil_saprotroph","Neocosmospora rubicola"
"226","k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Psathyrellaceae|g__Parasola|t__soil_saprotroph",2.12458951105436,"Wheat","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","Parasola",NA,"soil_saprotroph","Parasola"
"32","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporales_fam_Incertae_sedis|g__Polyschema|s__sclerotigenum|t__soil_saprotroph",-2.44500858893576,"Clover","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","Polyschema","sclerotigenum","soil_saprotroph","Polyschema sclerotigenum"
"3","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Staphylotrichum|s__acaciicola|t__soil_saprotroph",-3.38264294552449,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","Staphylotrichum","acaciicola","soil_saprotroph","Staphylotrichum acaciicola"
"113","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Staphylotrichum|s__acaciicola|t__soil_saprotroph",3.09075072084753,"Wheat-clover mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","Staphylotrichum","acaciicola","soil_saprotroph","Staphylotrichum acaciicola"
"560","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreales_fam_Incertae_sedis|g__Acremonium|s__persicinum|t__unspecified_saprotroph",2.23809333637344,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","Acremonium","persicinum","unspecified_saprotroph","Acremonium persicinum"
"561","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae|g__Coniochaeta|s__verticillata|t__unspecified_saprotroph",2.28657228035855,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","Coniochaeta","verticillata","unspecified_saprotroph","Coniochaeta verticillata"
"562","k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium|s__burgense|t__unspecified_saprotroph",2.29513789861281,"No residue","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","Penicillium","burgense","unspecified_saprotroph","Penicillium burgense"
"554","k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__adpressus|t__unspecified_saprotroph",2.05158281466006,"No residue","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","Talaromyces","adpressus","unspecified_saprotroph","Talaromyces adpressus"
"555","k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Talaromyces|s__purpureogenus|t__unspecified_saprotroph",2.10848114121541,"No residue","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","Talaromyces","purpureogenus","unspecified_saprotroph","Talaromyces purpureogenus"
"2","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",-3.60116454234053,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola",NA,"wood_saprotroph","Humicola"
"21","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",-2.958998059249,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola",NA,"wood_saprotroph","Humicola"
"114","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",3.32811771541762,"Wheat-clover mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola",NA,"wood_saprotroph","Humicola"
"216","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|t__wood_saprotroph",3.24618657532497,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola",NA,"wood_saprotroph","Humicola"
"10","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",-2.65022478181497,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","distorta","wood_saprotroph","Humicola distorta"
"41","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",-2.23091130820001,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","distorta","wood_saprotroph","Humicola distorta"
"185","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",2.40410264594181,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","distorta","wood_saprotroph","Humicola distorta"
