"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"15","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__fujikuroi|t__plant_pathogen",-2.48881760578296,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","fujikuroi","plant_pathogen","Fusarium fujikuroi"
"228","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__fujikuroi|t__plant_pathogen",2.19511868486878,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","fujikuroi","plant_pathogen","Fusarium fujikuroi"
"7","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__sporotrichioides|t__plant_pathogen",-3.05550881616233,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","sporotrichioides","plant_pathogen","Fusarium sporotrichioides"
"240","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__sporotrichioides|t__plant_pathogen",2.82696370568047,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","sporotrichioides","plant_pathogen","Fusarium sporotrichioides"
"23","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__tricinctum|t__plant_pathogen",-2.02857459397637,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","tricinctum","plant_pathogen","Fusarium tricinctum"
"636","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Fusarium|s__virguliforme|t__plant_pathogen",2.11731534124904,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","virguliforme","plant_pathogen","Fusarium virguliforme"
"635","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina|s__phaseolina|t__plant_pathogen",2.08220885944763,"No residue","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","Macrophomina","phaseolina","plant_pathogen","Macrophomina phaseolina"
"18","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Plectosphaerella|s__slobbergiarum|t__plant_pathogen",-2.17713881932966,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Plectosphaerella","slobbergiarum","plant_pathogen","Plectosphaerella slobbergiarum"
"61","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Plectosphaerella|s__slobbergiarum|t__plant_pathogen",-2.10214963519995,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Plectosphaerella","slobbergiarum","plant_pathogen","Plectosphaerella slobbergiarum"
"2321","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Plectosphaerella|s__slobbergiarum|t__plant_pathogen",2.61664118824868,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Plectosphaerella","slobbergiarum","plant_pathogen","Plectosphaerella slobbergiarum"
"230","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__astragali|t__plant_pathogen",2.03324875700158,"Wheat","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Stagonosporopsis","astragali","plant_pathogen","Stagonosporopsis astragali"
"20","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__lupini|t__plant_pathogen",-2.10480991558646,"No residue","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Stagonosporopsis","lupini","plant_pathogen","Stagonosporopsis lupini"
"227","k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis|s__lupini|t__plant_pathogen",2.19468259810919,"Clover","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","Stagonosporopsis","lupini","plant_pathogen","Stagonosporopsis lupini"
"648","k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Ustilago|s__maydis|t__plant_pathogen",2.33505489505758,"No residue","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","Ustilago","maydis","plant_pathogen","Ustilago maydis"
"640","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Verticillium|s__dahliae|t__plant_pathogen",2.2028505502378,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","Verticillium","dahliae","plant_pathogen","Verticillium dahliae"
"632","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariomycetes_ord_Incertae_sedis|f__Papulosaceae|g__Wongia|t__plant_pathogen",2.0136197998832,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Papulosaceae","Wongia",NA,"plant_pathogen","Wongia"
"10","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",-2.75641056558141,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"31","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",-2.71734187500646,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"2311","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",2.61093150475316,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"2441","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae|g__Albifimbria|s__verrucaria|t__soil_saprotroph",2.99783890095395,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","Albifimbria","verrucaria","soil_saprotroph","Albifimbria verrucaria"
"12","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",-2.57389176314118,"No residue","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","Mortierella rishikesha"
"236","k__Fungi|p__Mortierellomycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella|s__rishikesha|t__soil_saprotroph",2.31798994218735,"Wheat","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","Mortierella","rishikesha","soil_saprotroph","Mortierella rishikesha"
"16","k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Mucor|s__circinelloides|t__soil_saprotroph",-2.36570752696899,"No residue","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","Mucor","circinelloides","soil_saprotroph","Mucor circinelloides"
