,Sample.number,X,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day,frac.mass.recovery,frac.pct.pom,frac.pct.maom,pom.n.pct,pom.c.pct,pom.n.g.kg,pom.c.g.kg,pom.cn,maom.n.pct,maom.c.pct,maom.n.g.kg,maom.c.g.kg,maom.cn,bulk.soil.N.g.kg,bulk.soil.C.g.kg,bulk.soil.cn,frac.pct.n.as.pon,frac.pct.c.as.poc,frac.pct.n.as.maon,frac.pct.c.as.maoc,frac.c.recovery,frac.n.recovery,d13C.som,d13C.pom,d13C.maom,X13soc,X13poc,X13maoc,doc,mbc,X13doc,X13mbc,X13co2,CUE,GMC,Moisture.pct,co2,co2.native,dna,file.names.ITS,richness.ITS,shannon.div.ITS,simpson.div.ITS,invsimpson.div.ITS,evenness.ITS,Harvest.day2,file.names.16S,richness.16S,shannon.div.16S,simpson.div.16S,invsimpson.div.16S,evenness.16S
15,111,15,Drought,Five-species mix,R3,G-00,T1,97.3396921,19.32260848,80.67739152,0.135,1.999,0.253915663,3.759832664,14.80740741,0.135,1.091,1.060170181,8.567745683,8.081481481,2.01,16.53,8.22,12.63,22.74550916,52.74,51.83149233,74.57700149,65.37740514,-24.34734803,-23.84649112,-23.91254586,NA,NA,NA,84.95,683.7139556,NA,NA,NA,NA,0.275700935,21.61172161,18.15598373,NA,144.654,Wooliver_ITS_1D4_Beever240927_S192,272,3.813367475,0.946686114,18.75683945,0.680253678,24 hr,Wooliver_16S_1D4_Beever240927_S28,12468,7.58710473,0.995398686,217.3292401,0.804492479
16,112,16,Drought,Five-species mix,R3,G-00,T90,97.52653997,19.48590799,80.51409201,0.071,1.248,0.134927916,2.371690695,17.57746479,0.126,0.963,0.989384862,7.561727163,7.642857143,1.81,13.68,7.56,7.45,17.33692028,54.66,55.27578335,72.61270363,62.11672809,-22.09123047,-24.2690158,-24.22412647,NA,NA,NA,47.9,604.4873199,NA,NA,NA,NA,0.259481038,20.6022187,1585.468632,NA,89.912,Wooliver_ITS_1D9_Beever240927_S232,211,3.465347731,0.928633891,14.01225327,0.64750366,6 mo,Wooliver_16S_1D9_Beever240927_S68,7901,6.867994484,0.992979613,142.4422812,0.76525793
17,113,17,Drought,Wheat-clover mix,R3,G-50,T1,97.34147157,19.10318123,80.89681877,0.13,1.981,0.24173913,3.683732441,15.23846154,0.151,1.23,1.189066923,9.685776923,8.145695364,1.79,15.88,8.87,13.5,23.19730757,66.43,60.99355745,84.19086502,79.93329908,-17.2980277,-19.63918736,-17.10970335,29.63371095,5.757350346,17.77180437,52.94,891.7900552,6.215353766,8.503318399,11.22203293,0.431085777,0.276264591,21.64634146,39.86906211,1.943906666,164.047,Wooliver_ITS_2E2_Beever240927_S273,306,3.952661662,0.949219201,19.6924825,0.690591927,24 hr,Wooliver_16S_2E2_Beever240927_S109,11313,7.514841312,0.995220819,209.2408561,0.805129267
18,114,18,Drought,Wheat-clover mix,R3,G-50,T90,97.65606557,18.86849465,81.13150535,0.113,2.089,0.208216393,3.849239344,18.48672566,0.134,1.035,1.061679803,8.200288033,7.723880597,1.74,14.11,8.11,11.97,27.28022214,61.02,58.11685353,85.39707567,72.98254004,-17.71562958,-21.89128205,-19.11334237,16.65515147,3.562196954,10.56512696,44.19,415.2015116,1.548775029,0.566804966,26.95559509,0.020594315,0.26640159,21.03610675,1686.567469,45.34843729,94.806,Wooliver_ITS_2E7_Beever240927_S313,313,3.728192511,0.94118918,17.00367375,0.648809725,6 mo,Wooliver_16S_2E7_Beever240927_S149,11173,7.050828661,0.992737192,137.6877856,0.756424788
19,115,19,Drought,Wheat-clover mix,R3,G-00,T1,97.8067649,19.31169556,80.68830444,0.136,1.976,0.256878768,3.732297388,14.52941176,0.121,1.012,0.954915305,7.986564367,8.363636364,1.88,16.71,8.89,13.66,22.33571148,50.79,47.79511889,70.13083037,64.45713151,-24.2173666,-25.43622842,-23.91254586,NA,NA,NA,67.93,823.5931527,NA,NA,NA,NA,0.274873524,21.56084656,26.70312251,NA,154.906,Wooliver_ITS_1E4_Beever240927_S193,299,3.976737585,0.953048082,21.29838452,0.697618972,24 hr,Wooliver_16S_1E4_Beever240927_S29,12788,7.564242656,0.994993783,199.7516312,0.799918853
20,116,20,Drought,Wheat-clover mix,R3,G-00,T90,97.29448871,19.31404431,80.68595569,0.107,1.818,0.201069057,3.416294821,16.99065421,0.147,1.141,1.153993924,8.957190936,7.761904762,1.71,13.59,7.95,11.76,25.1382989,67.49,65.91016141,91.04846032,79.24344921,-22.08985715,-25.32371162,-23.89013452,NA,NA,NA,39.13,484.6127719,NA,NA,NA,NA,0.26059322,20.67226891,1614.215036,NA,88.407,Wooliver_ITS_1E9_Beever240927_S233,253,3.628236785,0.934367836,15.23643199,0.655698789,6 mo,Wooliver_16S_1E9_Beever240927_S69,9031,7.013244647,0.993221445,147.5240676,0.769973924
21,117,21,Drought,Wheat,R3,G-50,T1,97.07391304,19.50036348,80.49963652,0.176,2.872,0.33316388,5.436628763,16.31818182,0.146,1.239,1.140904548,9.682059833,8.48630137,1.58,15.41,9.75,21.09,35.27987516,72.21,62.82971988,98.10959504,93.29547013,-16.28764597,-20.48455419,-16.77582348,32.68623671,4.724468838,18.29386071,51.02,690.2972893,10.26370761,5.441138325,11.28775392,0.325253953,0.280943026,21.93251534,46.9082042,-3.502183266,155.143,Wooliver_ITS_2F2_Beever240927_S274,404,4.538592978,0.973863739,38.26101933,0.756253829,24 hr,Wooliver_16S_2F2_Beever240927_S110,11822,7.62273308,0.995865826,241.8862628,0.81285591
22,118,22,Drought,Wheat,R3,G-50,T90,96.69310345,18.47943433,81.52056567,0.056,1.149,0.100062696,2.0530721,20.51785714,0.135,1.117,1.064134326,8.804726238,8.274074074,1.56,13.38,8.58,6.41,15.34433558,68.21,65.80512884,81.14946441,74.62801423,-18.01037062,-20.87872763,-18.60697967,15.94993706,1.993861086,10.33251175,44.14,642.1815823,1.023312541,0.752314982,27.1972127,0.026916912,0.25915493,20.58165548,1794.703319,61.55230058,77.078,Wooliver_ITS_2F7_Beever240927_S314,413,4.406813462,0.96627348,29.65025766,0.731609829,6 mo,Wooliver_16S_2F7_Beever240927_S150,6183,6.811425195,0.993125992,145.4755368,0.780271409
23,119,23,Drought,Wheat,R3,G-00,T1,97.67591973,19.44865794,80.55134206,0.138,2.138,0.262153846,4.06148495,15.49275362,0.111,0.987,0.873339833,7.765643378,8.891891892,1.66,15.96,9.61,15.79,25.44790069,52.61,48.6569134,74.10481408,68.40323367,-24.15237439,-23.70630917,-23.78094295,NA,NA,NA,61.7,1039.851421,NA,NA,NA,NA,0.279467681,21.84249629,39.12263355,NA,142.571,Wooliver_ITS_1F4_Beever240927_S194,425,4.717134789,0.977989653,45.43317684,0.779422553,24 hr,Wooliver_16S_1F4_Beever240927_S30,12021,7.626380654,0.995871861,242.239919,0.811799818
25,120,25,Drought,Wheat,R3,G-00,T90,97.6788961,18.61386534,81.38613466,0.064,1.203,0.116363636,2.187272727,18.796875,0.131,1.122,1.041411721,8.919572143,8.564885496,1.51,13.19,8.74,7.71,16.58281067,68.97,67.62374634,84.20655701,76.67386471,-22.42833618,-24.47995475,-22.95680121,NA,NA,NA,38.71,570.7871185,NA,NA,NA,NA,0.254863813,20.31007752,1705.932504,NA,79.052,Wooliver_ITS_1F9_Beever240927_S234,346,4.388239397,0.97223215,36.01287038,0.750583315,6 mo,Wooliver_16S_1F9_Beever240927_S70,9593,7.091615195,0.993550822,155.0585237,0.773451678
