"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2"
"Wooliver_ITS_1E9_Beever240927_S233",-0.389508225065091,-0.275518626548024,0.118807359850407,0.218123361613347,0.727804176689358,0.5151470706216
"Wooliver_ITS_1F10_Beever240927_S242",-0.421294898815449,-0.688902149466529,0.0411412774960469,-0.00640664793622075,0.718174373803539,0.222041196815886
"Wooliver_ITS_1F6_Beever240927_S210",-0.376243872353546,-0.342614842585219,0.0542401292861303,0.396212953759369,-0.593552898157795,0.261229396146159
"Wooliver_ITS_1F7_Beever240927_S218",-0.373733036074294,-0.496214429219342,0.125208438858565,0.113407517604819,0.40541724714017,-0.109644043699777
"Wooliver_ITS_1F8_Beever240927_S226",1.34798065413415,-0.1568145342331,-2.07951578894617,2.81993637196614,-0.968780112533709,0.776121027509922
"Wooliver_ITS_1F9_Beever240927_S234",-0.10493230421338,1.58827538849358,-0.688728530579797,-0.310070247559995,-0.185028481609135,-0.430697367667235
"Wooliver_ITS_1G10_Beever240927_S243",-0.371896537274815,-0.300682319738571,0.002911294657876,-0.0439468520884459,0.54339727478365,0.487434616657718
"Wooliver_ITS_1G6_Beever240927_S211",1.30973352988811,-0.266379309986628,2.05722788330905,2.2257208213226,-0.261081834564406,0.819278786971226
"Wooliver_ITS_1G7_Beever240927_S219",-0.186854189641484,1.1543377745533,0.087248696379582,-0.833203227701882,0.434780621685596,-1.27158211961216
"Wooliver_ITS_1G8_Beever240927_S227",-0.400064037253294,-0.649097240438127,-0.206110312635519,-0.146181533808109,0.815718445613531,-0.31114701873677
"Wooliver_ITS_1G9_Beever240927_S235",-0.355719857571787,-0.282747084599627,-0.202821887857701,0.0585454712680979,-0.433139800692628,-0.787773804094203
"Wooliver_ITS_1H10_Beever240927_S244",-0.0661852434407714,1.71377561599816,0.391305671022913,0.172814615131851,-0.373740784464928,-0.399844106320492
"Wooliver_ITS_1H6_Beever240927_S212",-0.403973822809738,-0.570318298162017,0.113259282135649,-0.0473187728846817,-0.0669573678560797,0.713048487220637
"Wooliver_ITS_1H7_Beever240927_S220",-0.370667648975279,-0.362430822991456,-0.0622164115559624,-0.0625901087083723,0.0907636547699293,0.242705550713923
"Wooliver_ITS_1H8_Beever240927_S228",-0.383670056481273,-0.387107323309982,0.136938179882606,0.416688889317844,0.957737029413926,-0.683949146184341
"Wooliver_ITS_1H9_Beever240927_S236",1.27745506698422,-0.337560705075312,1.79562328936716,-2.75773671495453,0.117283737846368,0.442956159080267
"Wooliver_ITS_2A4_Beever240927_S285",-0.323099281280618,-0.023407705670664,-0.018677796534038,-0.0200805251864689,-0.270213861433185,-0.241946301970734
"Wooliver_ITS_2A5_Beever240927_S293",-0.37728951362151,-0.173580433056513,0.525867689915719,0.0559759298724476,1.42369627749844,0.359686762872561
"Wooliver_ITS_2A6_Beever240927_S301",1.21600797097838,-0.66801990926131,-1.09795294569416,0.881313210778098,-0.204401221902635,0.719506925230788
"Wooliver_ITS_2A7_Beever240927_S309",-0.120333654661953,1.34158173953313,-0.257513213680444,0.655961103445915,-0.897512822082922,-0.747250235836642
"Wooliver_ITS_2A8_Beever240927_S317",-0.390032686182297,-0.589554544908832,0.0103407909678591,-0.0429794065437032,0.147391255201224,0.0255039866389698
"Wooliver_ITS_2B4_Beever240927_S286",1.06821469439664,0.0857910279990954,2.9689901313172,2.60092549674665,-0.204791813367734,-1.35329082010837
"Wooliver_ITS_2B5_Beever240927_S294",-0.0393700839468287,1.91058067891365,-0.240957072018427,1.22896967304365,-0.466296117728683,0.148214724692778
"Wooliver_ITS_2B6_Beever240927_S302",-0.409984121753641,-0.741915069431217,-0.239238645456988,-0.199568877252553,0.678884028487864,0.498212290289517
