"","features","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","taxon"
"1069","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp16|o__Gp16|",2.68357695591832,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp16","o__Gp16",NA,NA,NA,"o__Gp16"
"1049","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp17|o__Gp17|",2.4398453312923,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp17","o__Gp17",NA,NA,NA,"o__Gp17"
"1006","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp2|o__Gp2|",2.1949227662589,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp2","o__Gp2",NA,NA,NA,"o__Gp2"
"1026","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp22|o__Gp22|",2.30199424501303,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp22","o__Gp22",NA,NA,NA,"o__Gp22"
"10111","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp25|o__Gp25|",2.20622160875093,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp25","o__Gp25",NA,NA,NA,"o__Gp25"
"27","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Candidatus_Solibacter|",-2.51887355402084,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Candidatus_Solibacter",NA,NA,NA,"o__Candidatus_Solibacter"
"88","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Candidatus_Solibacter|",-2.51360251595767,"Clover","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Candidatus_Solibacter",NA,NA,NA,"o__Candidatus_Solibacter"
"1102","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Candidatus_Solibacter|",3.02478170298588,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Candidatus_Solibacter",NA,NA,NA,"o__Candidatus_Solibacter"
"42","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Gp3|",-2.4116064419711,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Gp3",NA,NA,NA,"o__Gp3"
"161","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Gp3|",-2.36551718547141,"Wheat-clover mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Gp3",NA,NA,NA,"o__Gp3"
"1093","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|o__Gp3|",2.89806964099275,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3","o__Gp3",NA,NA,NA,"o__Gp3"
"1002","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp3|",2.14645631804229,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp3",NA,NA,NA,NA,"c__Acidobacteria_Gp3"
"4","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp4|o__Gp4|",-2.93753355865179,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp4","o__Gp4",NA,NA,NA,"o__Gp4"
"1124","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp4|o__Gp4|",3.44434904418453,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp4","o__Gp4",NA,NA,NA,"o__Gp4"
"31","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp5|o__Gp5|",-2.50443894962582,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp5","o__Gp5",NA,NA,NA,"o__Gp5"
"92","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp5|o__Gp5|",-2.49661616928707,"Clover","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp5","o__Gp5",NA,NA,NA,"o__Gp5"
"1103","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp5|o__Gp5|",3.02988604764391,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp5","o__Gp5",NA,NA,NA,"o__Gp5"
"3","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp6|o__Gp6|",-3.00954715989902,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp6","o__Gp6",NA,NA,NA,"o__Gp6"
"112","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp6|o__Gp6|",-2.95984227846927,"Clover","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp6","o__Gp6",NA,NA,NA,"o__Gp6"
"1125","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp6|o__Gp6|",3.4946231416438,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp6","o__Gp6",NA,NA,NA,"o__Gp6"
"58","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp7|o__Gp7|",-2.20989173209611,"No residue","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp7","o__Gp7",NA,NA,NA,"o__Gp7"
"232","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp7|o__Gp7|",-2.17595549577223,"Clover","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp7","o__Gp7",NA,NA,NA,"o__Gp7"
"1073","k__Bacteria|p__Acidobacteria|c__Acidobacteria_Gp7|o__Gp7|",2.73288198505747,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Acidobacteria_Gp7","o__Gp7",NA,NA,NA,"o__Gp7"
"975","k__Bacteria|p__Acidobacteria|c__Blastocatellia|o__Blastocatellales|f__Blastocatellaceae|g__Stenotrophobacter|",2.02492151483642,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Blastocatellia","o__Blastocatellales","f__Blastocatellaceae","g__Stenotrophobacter",NA,"g__Stenotrophobacter"
"34","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Luteitalea|",-2.49324011938494,"No residue","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Luteitalea",NA,"g__Luteitalea"
"113","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Luteitalea|",-2.43756473840179,"Clover","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Luteitalea",NA,"g__Luteitalea"
"1096","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Luteitalea|",2.94596105564894,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Luteitalea",NA,"g__Luteitalea"
"63","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Vicinamibacter|",-2.18000925809019,"No residue","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,"g__Vicinamibacter"
"322","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Vicinamibacter|",-2.06434097270846,"Clover","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,"g__Vicinamibacter"
"1060","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|g__Vicinamibacter|",2.57509539368873,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae","g__Vicinamibacter",NA,"g__Vicinamibacter"
"65","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|",-2.1738685370945,"No residue","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"f__Vicinamibacteraceae"
"1067","k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales|f__Vicinamibacteraceae|",2.65794012994352,"Five-speices mix","k__Bacteria","p__Acidobacteria","c__Vicinamibacteria","o__Vicinamibacterales","f__Vicinamibacteraceae",NA,NA,"f__Vicinamibacteraceae"
"50","k__Bacteria|p__Acidobacteria|",-2.33528536672436,"No residue","k__Bacteria","p__Acidobacteria",NA,NA,NA,NA,NA,"p__Acidobacteria"
"182","k__Bacteria|p__Acidobacteria|",-2.33410800876934,"Clover","k__Bacteria","p__Acidobacteria",NA,NA,NA,NA,NA,"p__Acidobacteria"
"1085","k__Bacteria|p__Acidobacteria|",2.85648719233937,"Five-speices mix","k__Bacteria","p__Acidobacteria",NA,NA,NA,NA,NA,"p__Acidobacteria"
"85","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidiferrimicrobium|",-2.01683741979914,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Acidiferrimicrobium",NA,"g__Acidiferrimicrobium"
"1055","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiaceae|g__Acidiferrimicrobium|",2.51403420027457,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Acidiferrimicrobium",NA,"g__Acidiferrimicrobium"
"77","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_incertae_sedis|g__Aciditerrimonas|",-2.08126806727552,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiales_incertae_sedis","g__Aciditerrimonas",NA,"g__Aciditerrimonas"
"1063","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Acidimicrobiales_incertae_sedis|g__Aciditerrimonas|",2.59455137298203,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiales_incertae_sedis","g__Aciditerrimonas",NA,"g__Aciditerrimonas"
"68","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__Actinomarinicola|",-2.15379057745813,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Actinomarinicola",NA,"g__Actinomarinicola"
"281","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__Actinomarinicola|",-2.10681166138246,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Actinomarinicola",NA,"g__Actinomarinicola"
"1065","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__Actinomarinicola|",2.63909100825901,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Actinomarinicola",NA,"g__Actinomarinicola"
"1015","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|g__Aquihabitans|",2.21262487172145,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae","g__Aquihabitans",NA,"g__Aquihabitans"
"78","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|",-2.05292794163891,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae",NA,NA,"f__Iamiaceae"
"1054","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae|",2.50687060185051,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Iamiaceae",NA,NA,"f__Iamiaceae"
"75","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas|",-2.09451330138974,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Ilumatobacteraceae","g__Desertimonas",NA,"g__Desertimonas"
"1052","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Desertimonas|",2.47677120521341,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Ilumatobacteraceae","g__Desertimonas",NA,"g__Desertimonas"
"73","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Ilumatobacter|",-2.10428410062371,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Ilumatobacteraceae","g__Ilumatobacter",NA,"g__Ilumatobacter"
"1048","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae|g__Ilumatobacter|",2.43868202826285,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Ilumatobacteraceae","g__Ilumatobacter",NA,"g__Ilumatobacter"
"40","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|",-2.43325711452172,"No residue","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales",NA,NA,NA,"o__Acidimicrobiales"
"1095","k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|",2.93711513983129,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales",NA,NA,NA,"o__Acidimicrobiales"
"81","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Jatrophihabitans|",-2.03661630746915,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Frankiaceae","g__Jatrophihabitans",NA,"g__Jatrophihabitans"
"121","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Jatrophihabitans|",-2.02025095222952,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Frankiaceae","g__Jatrophihabitans",NA,"g__Jatrophihabitans"
"1059","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Frankiaceae|g__Jatrophihabitans|",2.56266714671944,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Frankiaceae","g__Jatrophihabitans",NA,"g__Jatrophihabitans"
"1039","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Kineosporia|",2.37983525622594,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Kineosporia",NA,"g__Kineosporia"
"1017","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|",2.2346514304965,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae",NA,NA,"f__Kineosporiaceae"
"453","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Intrasporangium|",2.06364054266781,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Intrasporangium",NA,"g__Intrasporangium"
"362","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Intrasporangium|",-2.21293706230037,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Intrasporangium",NA,"g__Intrasporangium"
"254","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agromyces|",2.39802158711577,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agromyces",NA,"g__Agromyces"
"472","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agromyces|",2.63054705840363,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agromyces",NA,"g__Agromyces"
"115","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agromyces|",-2.84337273575182,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Agromyces",NA,"g__Agromyces"
"469","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|",2.44417940678542,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium",NA,"g__Microbacterium"
"231","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|",-2.16279199369485,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium",NA,"g__Microbacterium"
"4010","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|",-2.18272757272177,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Microbacterium",NA,"g__Microbacterium"
"455","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|",2.11794437909976,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter",NA,"g__Arthrobacter"
"372","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|",-2.20952238350872,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter",NA,"g__Arthrobacter"
"4710","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter|",-2.07992591689696,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter",NA,"g__Pseudarthrobacter"
"51","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|",-2.30704437838257,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes",NA,"g__Actinoplanes"
"610","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|",-2.21026804039229,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes",NA,"g__Actinoplanes"
"1075","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Actinoplanes|",2.74787957600515,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Actinoplanes",NA,"g__Actinoplanes"
"403","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Catellatospora|",2.08239684142253,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Catellatospora",NA,"g__Catellatospora"
"59","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|",-2.20817197749099,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Dactylosporangium",NA,"g__Dactylosporangium"
"416","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Dactylosporangium|",2.42546811473351,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Dactylosporangium",NA,"g__Dactylosporangium"
"988","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Luedemannella|",2.08861712118137,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Luedemannella",NA,"g__Luedemannella"
"1050","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Mangrovihabitans|",2.44298154623346,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Mangrovihabitans",NA,"g__Mangrovihabitans"
"101","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|",-2.04507676504209,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora",NA,"g__Micromonospora"
"459","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|",2.21626966531741,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora",NA,"g__Micromonospora"
"211","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|",-2.21932776967052,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora",NA,"g__Micromonospora"
"990","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Plantactinospora|",2.09292738883763,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Plantactinospora",NA,"g__Plantactinospora"
"986","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Rugosimonospora|",2.06569709947757,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Rugosimonospora",NA,"g__Rugosimonospora"
"1053","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Virgisporangium|",2.47914671036908,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Virgisporangium",NA,"g__Virgisporangium"
"15","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|",-2.67047052813767,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae",NA,NA,"f__Micromonosporaceae"
"425","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|",-2.59766947252666,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae",NA,NA,"f__Micromonosporaceae"
"11111","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|",3.11258750729519,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae",NA,NA,"f__Micromonosporaceae"
"29","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|",-2.51191436121706,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium",NA,"g__Mycobacterium"
"1038","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|",2.37741998153136,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium",NA,"g__Mycobacterium"
"470","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Nocardiaceae|g__Nocardia|",2.54257264448593,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Nocardiaceae","g__Nocardia",NA,"g__Nocardia"
