"","file.names","X","submitted.by","library","well","utia","id","sample.id","plate","row","column","Sample.number","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"40","Wooliver_16S_1D12_Beever240927_S92",40,"Wooliver","16S","1D12","Beever240927",NA,"S92",1,"D",12,"45",30689,9.74658531582197,0.999881780391399,8458.8336218851,0.943370738865369
"41","Wooliver_16S_1D2_Beever240927_S12",41,"Wooliver","16S","1D2","Beever240927",NA,"S12",1,"D",2,"47",39801,9.94373972986807,0.99989401820563,9435.58283703851,0.938828440246266
"42","Wooliver_16S_1D3_Beever240927_S20",42,"Wooliver","16S","1D3","Beever240927",NA,"S20",1,"D",3,"79",23620,7.94314752338657,0.995790011405343,237.530334706627,0.788805021067371
"43","Wooliver_16S_1D4_Beever240927_S28",43,"Wooliver","16S","1D4","Beever240927",NA,"S28",1,"D",4,"111",19522,7.86668352609561,0.995835932653484,240.149814300355,0.796279662032114
"44","Wooliver_16S_1D5_Beever240927_S36",44,"Wooliver","16S","1D5","Beever240927",NA,"S36",1,"D",5,"143",18981,8.06446834710284,0.996697407455058,302.792423343772,0.818628538364223
"45","Wooliver_16S_1D6_Beever240927_S44",45,"Wooliver","16S","1D6","Beever240927",NA,"S44",1,"D",6,"16",14733,7.18010939125706,0.992818150921477,139.239907308897,0.748095981495962
"46","Wooliver_16S_1D7_Beever240927_S52",46,"Wooliver","16S","1D7","Beever240927",NA,"S52",1,"D",7,"48",37953,9.85276248650375,0.999880689692818,8381.50553472861,0.934433370947938
"47","Wooliver_16S_1D8_Beever240927_S60",47,"Wooliver","16S","1D8","Beever240927",NA,"S60",1,"D",8,"80",16335,7.35894229285816,0.993828356794626,162.031401803858,0.758570532931655
"48","Wooliver_16S_1D9_Beever240927_S68",48,"Wooliver","16S","1D9","Beever240927",NA,"S68",1,"D",9,"112",10830,7.05764721385745,0.993468908171815,153.113755908996,0.759697521878355
"49","Wooliver_16S_1E1_Beever240927_S5",49,"Wooliver","16S","1.00E+01","Beever240927",NA,"S5",1,"E",1,"19",20504,8.07735609197183,0.996513880041994,286.851861681774,0.813562730446955
"50","Wooliver_16S_1E10_Beever240927_S77",50,"Wooliver","16S","1.00E+10","Beever240927",NA,"S77",1,"E",10,"148",29816,9.5763176438105,0.99981345711015,5360.69748252137,0.929486861218204
"51","Wooliver_16S_1E11_Beever240927_S85",51,"Wooliver","16S","1.00E+11","Beever240927",NA,"S85",1,"E",11,"17",17446,8.14315793501929,0.997121507563653,347.404074220517,0.833753448239677
"52","Wooliver_16S_1E12_Beever240927_S93",52,"Wooliver","16S","1.00E+12","Beever240927",NA,"S93",1,"E",12,"49",12949,7.59147521237356,0.995569218543914,225.693821713191,0.801737937497451
"53","Wooliver_16S_1E2_Beever240927_S13",53,"Wooliver","16S","1.00E+02","Beever240927",NA,"S13",1,"E",2,"51",14773,7.47120742787112,0.99444752272215,180.099791491129,0.778205664613839
"54","Wooliver_16S_1E3_Beever240927_S21",54,"Wooliver","16S","1.00E+03","Beever240927",NA,"S21",1,"E",3,"83",18675,8.02133125999729,0.996589584296208,293.219386389761,0.815595258969069
"55","Wooliver_16S_1E4_Beever240927_S29",55,"Wooliver","16S","1.00E+04","Beever240927",NA,"S29",1,"E",4,"115",21022,7.92095610960398,0.995695941132164,232.338829627318,0.795810071388857
"56","Wooliver_16S_1E5_Beever240927_S37",56,"Wooliver","16S","1.00E+05","Beever240927",NA,"S37",1,"E",5,"147",37084,9.85582797349442,0.999878951952816,8261.18242521321,0.936781992954155
"57","Wooliver_16S_1E6_Beever240927_S45",57,"Wooliver","16S","1.00E+06","Beever240927",NA,"S45",1,"E",6,"20",16218,7.360141801377,0.994124377997547,170.194746970206,0.759256775138069
"58","Wooliver_16S_1E7_Beever240927_S53",58,"Wooliver","16S","1.00E+07","Beever240927",NA,"S53",1,"E",7,"52",11380,6.88838480752266,0.992568420157488,134.56089030755,0.737545016385752
"59","Wooliver_16S_1E8_Beever240927_S61",59,"Wooliver","16S","1.00E+08","Beever240927",NA,"S61",1,"E",8,"84",13772,7.40830553867703,0.994385011226819,178.094746115327,0.777334751581766
"60","Wooliver_16S_1E9_Beever240927_S69",60,"Wooliver","16S","1.00E+09","Beever240927",NA,"S69",1,"E",9,"116",12863,7.24082599227715,0.993768570618537,160.476824623053,0.765244305908022
"61","Wooliver_16S_1F1_Beever240927_S6",61,"Wooliver","16S","1F1","Beever240927",NA,"S6",1,"F",1,"23",18396,8.0130962283314,0.996150369691563,259.765203377695,0.816006842129093
"62","Wooliver_16S_1F10_Beever240927_S78",62,"Wooliver","16S","1F10","Beever240927",NA,"S78",1,"F",10,"152",10056,7.07741689207249,0.993670172479775,157.982187793392,0.767955151962919
"63","Wooliver_16S_1F11_Beever240927_S86",63,"Wooliver","16S","1F11","Beever240927",NA,"S86",1,"F",11,"21",14734,8.02278980501691,0.996954749029999,328.380159747469,0.835888987766922
"64","Wooliver_16S_1F12_Beever240927_S94",64,"Wooliver","16S","1F12","Beever240927",NA,"S94",1,"F",12,"53",15589,7.92945652693355,0.996441313874257,281.002584848988,0.821337583223392
"65","Wooliver_16S_1F2_Beever240927_S14",65,"Wooliver","16S","1F2","Beever240927",NA,"S14",1,"F",2,"55",23242,7.96322460538264,0.995509000731351,222.667593597897,0.792067768262465
"66","Wooliver_16S_1F3_Beever240927_S22",66,"Wooliver","16S","1F3","Beever240927",NA,"S22",1,"F",3,"87",41176,9.95634882864464,0.999889597252825,9057.74562307814,0.937014255210196
"67","Wooliver_16S_1F4_Beever240927_S30",67,"Wooliver","16S","1F4","Beever240927",NA,"S30",1,"F",4,"119",19684,7.97261922004638,0.996445579595115,281.339820868025,0.806328162821332
"68","Wooliver_16S_1F5_Beever240927_S38",68,"Wooliver","16S","1F5","Beever240927",NA,"S38",1,"F",5,"151",18302,7.73857337485677,0.995548267286011,224.631635420878,0.788462371137607
"69","Wooliver_16S_1F6_Beever240927_S46",69,"Wooliver","16S","1F6","Beever240927",NA,"S46",1,"F",6,"24",20930,7.69034847863886,0.99491996952171,196.84921267177,0.772981784419458
"70","Wooliver_16S_1F7_Beever240927_S54",70,"Wooliver","16S","1F7","Beever240927",NA,"S54",1,"F",7,"56",15983,7.27649184617805,0.993606556484468,156.410234574014,0.751759546397457
"71","Wooliver_16S_1F8_Beever240927_S62",71,"Wooliver","16S","1F8","Beever240927",NA,"S62",1,"F",8,"88",30458,9.62468492972261,0.999841091169294,6292.91648273864,0.932253778429585
"72","Wooliver_16S_1F9_Beever240927_S70",72,"Wooliver","16S","1F9","Beever240927",NA,"S70",1,"F",9,"120",14042,7.33953951531455,0.99413345832884,170.458177245389,0.768553611229689
"73","Wooliver_16S_1G1_Beever240927_S7",73,"Wooliver","16S","1G1","Beever240927",NA,"S7",1,"G",1,"27",36272,9.82629929521455,0.9998748520893,7990.5449033138,0.935944870880362
"74","Wooliver_16S_1G10_Beever240927_S79",74,"Wooliver","16S","1G10","Beever240927",NA,"S79",1,"G",10,"156",11793,7.0495804494833,0.992448233829935,132.41935429145,0.751934280881872
"75","Wooliver_16S_1G11_Beever240927_S87",75,"Wooliver","16S","1G11","Beever240927",NA,"S87",1,"G",11,"25",29002,9.64876688252549,0.999862691975259,7282.89553279353,0.939041764457565
