"","Var1","Freq","percentage"
"617","g__Urnula",19,0.05
"618","g__Ustilaginoidea",7,0.02
"619","g__Ustilago",25,0.07
"620","g__Valsonectria",52,0.15
"621","g__Vararia",5,0.01
"622","g__Varicosporellopsis",1,0
"623","g__Vermispora",71,0.2
"624","g__Veronaea",34,0.1
"625","g__Veronaeopsis",3,0.01
"626","g__Verticillium",68,0.19
"627","g__Vexillomyces",1,0
"628","g__Virgaria",6,0.02
"629","g__Vishniacozyma",16,0.04
"630","g__Volutella",39,0.11
"631","g__Volvariella",6,0.02
"632","g__Waitea",14,0.04
"633","g__Westerdykella",85,0.24
"634","g__Wettsteinina",4,0.01
"635","g__Whalleya",4,0.01
"636","g__Wickerhamomyces",4,0.01
"637","g__Wongia",21,0.06
"638","g__Xanthothecium",6,0.02
"639","g__Xenodidymella",4,0.01
"640","g__Xylaria",10,0.03
"641","g__Xylomelasma",9,0.03
"642","g__Yunnania",2,0.01
"643","g__Zopfiella",8,0.02
