,file.names,submitted.by,library,well,utia,id,sample.id,plate,row,column,Sample.number,Sample.name,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day
58,Wooliver_16S_1E7_Beever240927_S53,Wooliver,16S,1.00E+07,Beever240927,NA,S53,1,E,7,52,16S_Ambient_No residue_R2_G-00,Ambient,No residue,R2,G-00,T90
70,Wooliver_16S_1F7_Beever240927_S54,Wooliver,16S,1F7,Beever240927,NA,S54,1,F,7,56,16S_Ambient_Wheat_R2_G-00,Ambient,Wheat,R2,G-00,T90
82,Wooliver_16S_1G7_Beever240927_S55,Wooliver,16S,1G7,Beever240927,NA,S55,1,G,7,60,16S_Ambient_Wheat-clover mix_R2_G-00,Ambient,Wheat-clover mix,R2,G-00,T90
94,Wooliver_16S_1H7_Beever240927_S56,Wooliver,16S,1H7,Beever240927,NA,S56,1,H,7,64,16S_Drought_Clover_R2_G-00,Drought,Clover,R2,G-00,T90
11,Wooliver_16S_1A8_Beever240927_S57,Wooliver,16S,1A8,Beever240927,NA,S57,1,A,8,68,16S_Drought_Five-species mix_R2_G-00,Drought,Five-species mix,R2,G-00,T90
23,Wooliver_16S_1B8_Beever240927_S58,Wooliver,16S,1B8,Beever240927,NA,S58,1,B,8,72,16S_Drought_No residue_R2_G-00,Drought,No residue,R2,G-00,T90
35,Wooliver_16S_1C8_Beever240927_S59,Wooliver,16S,1C8,Beever240927,NA,S59,1,C,8,76,16S_Drought_Wheat_R2_G-00,Drought,Wheat,R2,G-00,T90
47,Wooliver_16S_1D8_Beever240927_S60,Wooliver,16S,1D8,Beever240927,NA,S60,1,D,8,80,16S_Drought_Wheat-clover mix_R2_G-00,Drought,Wheat-clover mix,R2,G-00,T90
59,Wooliver_16S_1E8_Beever240927_S61,Wooliver,16S,1.00E+08,Beever240927,NA,S61,1,E,8,84,16S_Ambient_Clover_R3_G-00,Ambient,Clover,R3,G-00,T90
71,Wooliver_16S_1F8_Beever240927_S62,Wooliver,16S,1F8,Beever240927,NA,S62,1,F,8,88,16S_Ambient_Five-species mix_R3_G-00,Ambient,Five-species mix,R3,G-00,T90
83,Wooliver_16S_1G8_Beever240927_S63,Wooliver,16S,1G8,Beever240927,NA,S63,1,G,8,92,16S_Ambient_No residue_R3_G-00,Ambient,No residue,R3,G-00,T90
95,Wooliver_16S_1H8_Beever240927_S64,Wooliver,16S,1H8,Beever240927,NA,S64,1,H,8,96,16S_Ambient_Wheat_R3_G-00,Ambient,Wheat,R3,G-00,T90
12,Wooliver_16S_1A9_Beever240927_S65,Wooliver,16S,1A9,Beever240927,NA,S65,1,A,9,100,16S_Ambient_Wheat-clover mix_R3_G-00,Ambient,Wheat-clover mix,R3,G-00,T90
24,Wooliver_16S_1B9_Beever240927_S66,Wooliver,16S,1B9,Beever240927,NA,S66,1,B,9,104,16S_Drought_Clover_R3_G-00,Drought,Clover,R3,G-00,T90
36,Wooliver_16S_1C9_Beever240927_S67,Wooliver,16S,1C9,Beever240927,NA,S67,1,C,9,108,16S_Drought_Five-species mix_R3_G-00,Drought,Five-species mix,R3,G-00,T90
48,Wooliver_16S_1D9_Beever240927_S68,Wooliver,16S,1D9,Beever240927,NA,S68,1,D,9,112,16S_Drought_No residue_R3_G-00,Drought,No residue,R3,G-00,T90
60,Wooliver_16S_1E9_Beever240927_S69,Wooliver,16S,1.00E+09,Beever240927,NA,S69,1,E,9,116,16S_Drought_Wheat_R3_G-00,Drought,Wheat,R3,G-00,T90
72,Wooliver_16S_1F9_Beever240927_S70,Wooliver,16S,1F9,Beever240927,NA,S70,1,F,9,120,16S_Drought_Wheat-clover mix_R3_G-00,Drought,Wheat-clover mix,R3,G-00,T90
84,Wooliver_16S_1G9_Beever240927_S71,Wooliver,16S,1G9,Beever240927,NA,S71,1,G,9,124,16S_Ambient_Clover_R4_G-00,Ambient,Clover,R4,G-00,T90
96,Wooliver_16S_1H9_Beever240927_S72,Wooliver,16S,1H9,Beever240927,NA,S72,1,H,9,128,16S_Ambient_Five-species mix_R4_G-00,Ambient,Five-species mix,R4,G-00,T90
2,Wooliver_16S_1A10_Beever240927_S73,Wooliver,16S,1A10,Beever240927,NA,S73,1,A,10,132,16S_Ambient_No residue_R4_G-00,Ambient,No residue,R4,G-00,T90
14,Wooliver_16S_1B10_Beever240927_S74,Wooliver,16S,1B10,Beever240927,NA,S74,1,B,10,136,16S_Ambient_Wheat_R4_G-00,Ambient,Wheat,R4,G-00,T90
26,Wooliver_16S_1C10_Beever240927_S75,Wooliver,16S,1C10,Beever240927,NA,S75,1,C,10,140,16S_Ambient_Wheat-clover mix_R4_G-00,Ambient,Wheat-clover mix,R4,G-00,T90
38,Wooliver_16S_1D10_Beever240927_S76,Wooliver,16S,1D10,Beever240927,NA,S76,1,D,10,144,16S_Drought_Clover_R4_G-00,Drought,Clover,R4,G-00,T90
50,Wooliver_16S_1E10_Beever240927_S77,Wooliver,16S,1.00E+10,Beever240927,NA,S77,1,E,10,148,16S_Drought_Five-species mix_R4_G-00,Drought,Five-species mix,R4,G-00,T90
62,Wooliver_16S_1F10_Beever240927_S78,Wooliver,16S,1F10,Beever240927,NA,S78,1,F,10,152,16S_Drought_No residue_R4_G-00,Drought,No residue,R4,G-00,T90
74,Wooliver_16S_1G10_Beever240927_S79,Wooliver,16S,1G10,Beever240927,NA,S79,1,G,10,156,16S_Drought_Wheat_R4_G-00,Drought,Wheat,R4,G-00,T90
86,Wooliver_16S_1H10_Beever240927_S80,Wooliver,16S,1H10,Beever240927,NA,S80,1,H,10,160,16S_Drought_Wheat-clover mix_R4_G-00,Drought,Wheat-clover mix,R4,G-00,T90
3,Wooliver_16S_1A11_Beever240927_S81,Wooliver,16S,1A11,Beever240927,NA,S81,1,A,11,1,16S_Ambient_Clover_R1_G-50,Ambient,Clover,R1,G-50,T1
15,Wooliver_16S_1B11_Beever240927_S82,Wooliver,16S,1B11,Beever240927,NA,S82,1,B,11,5,16S_Ambient_Five-species mix_R1_G-50,Ambient,Five-species mix,R1,G-50,T1
27,Wooliver_16S_1C11_Beever240927_S83,Wooliver,16S,1C11,Beever240927,NA,S83,1,C,11,9,16S_Ambient_No residue_R1_G-50,Ambient,No residue,R1,G-50,T1
39,Wooliver_16S_1D11_Beever240927_S84,Wooliver,16S,1D11,Beever240927,NA,S84,1,D,11,13,16S_Ambient_Wheat_R1_G-50,Ambient,Wheat,R1,G-50,T1
51,Wooliver_16S_1E11_Beever240927_S85,Wooliver,16S,1.00E+11,Beever240927,NA,S85,1,E,11,17,16S_Ambient_Wheat-clover mix_R1_G-50,Ambient,Wheat-clover mix,R1,G-50,T1
63,Wooliver_16S_1F11_Beever240927_S86,Wooliver,16S,1F11,Beever240927,NA,S86,1,F,11,21,16S_Drought_Clover_R1_G-50,Drought,Clover,R1,G-50,T1
75,Wooliver_16S_1G11_Beever240927_S87,Wooliver,16S,1G11,Beever240927,NA,S87,1,G,11,25,16S_Drought_Five-species mix_R1_G-50,Drought,Five-species mix,R1,G-50,T1
87,Wooliver_16S_1H11_Beever240927_S88,Wooliver,16S,1H11,Beever240927,NA,S88,1,H,11,29,16S_Drought_No residue_R1_G-50,Drought,No residue,R1,G-50,T1
4,Wooliver_16S_1A12_Beever240927_S89,Wooliver,16S,1A12,Beever240927,NA,S89,1,A,12,33,16S_Drought_Wheat_R1_G-50,Drought,Wheat,R1,G-50,T1
16,Wooliver_16S_1B12_Beever240927_S90,Wooliver,16S,1B12,Beever240927,NA,S90,1,B,12,37,16S_Drought_Wheat-clover mix_R1_G-50,Drought,Wheat-clover mix,R1,G-50,T1
28,Wooliver_16S_1C12_Beever240927_S91,Wooliver,16S,1C12,Beever240927,NA,S91,1,C,12,41,16S_Ambient_Clover_R2_G-50,Ambient,Clover,R2,G-50,T1
40,Wooliver_16S_1D12_Beever240927_S92,Wooliver,16S,1D12,Beever240927,NA,S92,1,D,12,45,16S_Ambient_Five-species mix_R2_G-50,Ambient,Five-species mix,R2,G-50,T1
52,Wooliver_16S_1E12_Beever240927_S93,Wooliver,16S,1.00E+12,Beever240927,NA,S93,1,E,12,49,16S_Ambient_No residue_R2_G-50,Ambient,No residue,R2,G-50,T1
64,Wooliver_16S_1F12_Beever240927_S94,Wooliver,16S,1F12,Beever240927,NA,S94,1,F,12,53,16S_Ambient_Wheat_R2_G-50,Ambient,Wheat,R2,G-50,T1
76,Wooliver_16S_1G12_Beever240927_S95,Wooliver,16S,1G12,Beever240927,NA,S95,1,G,12,57,16S_Ambient_Wheat-clover mix_R2_G-50,Ambient,Wheat-clover mix,R2,G-50,T1
88,Wooliver_16S_1H12_Beever240927_S96,Wooliver,16S,1H12,Beever240927,NA,S96,1,H,12,61,16S_Drought_Clover_R2_G-50,Drought,Clover,R2,G-50,T1
97,Wooliver_16S_2A1_Beever240927_S97,Wooliver,16S,2A1,Beever240927,NA,S97,2,A,1,65,16S_Drought_Five-species mix_R2_G-50,Drought,Five-species mix,R2,G-50,T1
106,Wooliver_16S_2B1_Beever240927_S98,Wooliver,16S,2B1,Beever240927,NA,S98,2,B,1,69,16S_Drought_No residue_R2_G-50,Drought,No residue,R2,G-50,T1
115,Wooliver_16S_2C1_Beever240927_S99,Wooliver,16S,2C1,Beever240927,NA,S99,2,C,1,73,16S_Drought_Wheat_R2_G-50,Drought,Wheat,R2,G-50,T1
124,Wooliver_16S_2D1_Beever240927_S100,Wooliver,16S,2D1,Beever240927,NA,S100,2,D,1,77,16S_Drought_Wheat-clover mix_R2_G-50,Drought,Wheat-clover mix,R2,G-50,T1
133,Wooliver_16S_2E1_Beever240927_S101,Wooliver,16S,2.00E+01,Beever240927,NA,S101,2,E,1,81,16S_Ambient_Clover_R3_G-50,Ambient,Clover,R3,G-50,T1
141,Wooliver_16S_2F1_Beever240927_S102,Wooliver,16S,2F1,Beever240927,NA,S102,2,F,1,85,16S_Ambient_Five-species mix_R3_G-50,Ambient,Five-species mix,R3,G-50,T1
149,Wooliver_16S_2G1_Beever240927_S103,Wooliver,16S,2G1,Beever240927,NA,S103,2,G,1,89,16S_Ambient_No residue_R3_G-50,Ambient,No residue,R3,G-50,T1
157,Wooliver_16S_2H1_Beever240927_S104,Wooliver,16S,2H1,Beever240927,NA,S104,2,H,1,93,16S_Ambient_Wheat_R3_G-50,Ambient,Wheat,R3,G-50,T1
98,Wooliver_16S_2A2_Beever240927_S105,Wooliver,16S,2A2,Beever240927,NA,S105,2,A,2,97,16S_Ambient_Wheat-clover mix_R3_G-50,Ambient,Wheat-clover mix,R3,G-50,T1
107,Wooliver_16S_2B2_Beever240927_S106,Wooliver,16S,2B2,Beever240927,NA,S106,2,B,2,101,16S_Drought_Clover_R3_G-50,Drought,Clover,R3,G-50,T1
116,Wooliver_16S_2C2_Beever240927_S107,Wooliver,16S,2C2,Beever240927,NA,S107,2,C,2,105,16S_Drought_Five-species mix_R3_G-50,Drought,Five-species mix,R3,G-50,T1
125,Wooliver_16S_2D2_Beever240927_S108,Wooliver,16S,2D2,Beever240927,NA,S108,2,D,2,109,16S_Drought_No residue_R3_G-50,Drought,No residue,R3,G-50,T1
134,Wooliver_16S_2E2_Beever240927_S109,Wooliver,16S,2.00E+02,Beever240927,NA,S109,2,E,2,113,16S_Drought_Wheat_R3_G-50,Drought,Wheat,R3,G-50,T1
142,Wooliver_16S_2F2_Beever240927_S110,Wooliver,16S,2F2,Beever240927,NA,S110,2,F,2,117,16S_Drought_Wheat-clover mix_R3_G-50,Drought,Wheat-clover mix,R3,G-50,T1
150,Wooliver_16S_2G2_Beever240927_S111,Wooliver,16S,2G2,Beever240927,NA,S111,2,G,2,121,16S_Ambient_Clover_R4_G-50,Ambient,Clover,R4,G-50,T1
158,Wooliver_16S_2H2_Beever240927_S112,Wooliver,16S,2H2,Beever240927,NA,S112,2,H,2,125,16S_Ambient_Five-species mix_R4_G-50,Ambient,Five-species mix,R4,G-50,T1
99,Wooliver_16S_2A3_Beever240927_S113,Wooliver,16S,2A3,Beever240927,NA,S113,2,A,3,129,16S_Ambient_No residue_R4_G-50,Ambient,No residue,R4,G-50,T1
108,Wooliver_16S_2B3_Beever240927_S114,Wooliver,16S,2B3,Beever240927,NA,S114,2,B,3,133,16S_Ambient_Wheat_R4_G-50,Ambient,Wheat,R4,G-50,T1
117,Wooliver_16S_2C3_Beever240927_S115,Wooliver,16S,2C3,Beever240927,NA,S115,2,C,3,137,16S_Ambient_Wheat-clover mix_R4_G-50,Ambient,Wheat-clover mix,R4,G-50,T1
126,Wooliver_16S_2D3_Beever240927_S116,Wooliver,16S,2D3,Beever240927,NA,S116,2,D,3,141,16S_Drought_Clover_R4_G-50,Drought,Clover,R4,G-50,T1
135,Wooliver_16S_2E3_Beever240927_S117,Wooliver,16S,2.00E+03,Beever240927,NA,S117,2,E,3,145,16S_Drought_Five-species mix_R4_G-50,Drought,Five-species mix,R4,G-50,T1
143,Wooliver_16S_2F3_Beever240927_S118,Wooliver,16S,2F3,Beever240927,NA,S118,2,F,3,149,16S_Drought_No residue_R4_G-50,Drought,No residue,R4,G-50,T1
151,Wooliver_16S_2G3_Beever240927_S119,Wooliver,16S,2G3,Beever240927,NA,S119,2,G,3,153,16S_Drought_Wheat_R4_G-50,Drought,Wheat,R4,G-50,T1
159,Wooliver_16S_2H3_Beever240927_S120,Wooliver,16S,2H3,Beever240927,NA,S120,2,H,3,157,16S_Drought_Wheat-clover mix_R4_G-50,Drought,Wheat-clover mix,R4,G-50,T1
100,Wooliver_16S_2A4_Beever240927_S121,Wooliver,16S,2A4,Beever240927,NA,S121,2,A,4,2,16S_Ambient_Clover_R1_G-50,Ambient,Clover,R1,G-50,T90
109,Wooliver_16S_2B4_Beever240927_S122,Wooliver,16S,2B4,Beever240927,NA,S122,2,B,4,6,16S_Ambient_Five-species mix_R1_G-50,Ambient,Five-species mix,R1,G-50,T90
118,Wooliver_16S_2C4_Beever240927_S123,Wooliver,16S,2C4,Beever240927,NA,S123,2,C,4,10,16S_Ambient_No residue_R1_G-50,Ambient,No residue,R1,G-50,T90
127,Wooliver_16S_2D4_Beever240927_S124,Wooliver,16S,2D4,Beever240927,NA,S124,2,D,4,14,16S_Ambient_Wheat_R1_G-50,Ambient,Wheat,R1,G-50,T90
136,Wooliver_16S_2E4_Beever240927_S125,Wooliver,16S,2.00E+04,Beever240927,NA,S125,2,E,4,18,16S_Ambient_Wheat-clover mix_R1_G-50,Ambient,Wheat-clover mix,R1,G-50,T90
144,Wooliver_16S_2F4_Beever240927_S126,Wooliver,16S,2F4,Beever240927,NA,S126,2,F,4,22,16S_Drought_Clover_R1_G-50,Drought,Clover,R1,G-50,T90
152,Wooliver_16S_2G4_Beever240927_S127,Wooliver,16S,2G4,Beever240927,NA,S127,2,G,4,26,16S_Drought_Five-species mix_R1_G-50,Drought,Five-species mix,R1,G-50,T90
160,Wooliver_16S_2H4_Beever240927_S128,Wooliver,16S,2H4,Beever240927,NA,S128,2,H,4,30,16S_Drought_No residue_R1_G-50,Drought,No residue,R1,G-50,T90
101,Wooliver_16S_2A5_Beever240927_S129,Wooliver,16S,2A5,Beever240927,NA,S129,2,A,5,34,16S_Drought_Wheat_R1_G-50,Drought,Wheat,R1,G-50,T90
110,Wooliver_16S_2B5_Beever240927_S130,Wooliver,16S,2B5,Beever240927,NA,S130,2,B,5,38,16S_Drought_Wheat-clover mix_R1_G-50,Drought,Wheat-clover mix,R1,G-50,T90
119,Wooliver_16S_2C5_Beever240927_S131,Wooliver,16S,2C5,Beever240927,NA,S131,2,C,5,42,16S_Ambient_Clover_R2_G-50,Ambient,Clover,R2,G-50,T90
128,Wooliver_16S_2D5_Beever240927_S132,Wooliver,16S,2D5,Beever240927,NA,S132,2,D,5,46,16S_Ambient_Five-species mix_R2_G-50,Ambient,Five-species mix,R2,G-50,T90
137,Wooliver_16S_2E5_Beever240927_S133,Wooliver,16S,2.00E+05,Beever240927,NA,S133,2,E,5,50,16S_Ambient_No residue_R2_G-50,Ambient,No residue,R2,G-50,T90
145,Wooliver_16S_2F5_Beever240927_S134,Wooliver,16S,2F5,Beever240927,NA,S134,2,F,5,54,16S_Ambient_Wheat_R2_G-50,Ambient,Wheat,R2,G-50,T90
153,Wooliver_16S_2G5_Beever240927_S135,Wooliver,16S,2G5,Beever240927,NA,S135,2,G,5,58,16S_Ambient_Wheat-clover mix_R2_G-50,Ambient,Wheat-clover mix,R2,G-50,T90
161,Wooliver_16S_2H5_Beever240927_S136,Wooliver,16S,2H5,Beever240927,NA,S136,2,H,5,62,16S_Drought_Clover_R2_G-50,Drought,Clover,R2,G-50,T90
102,Wooliver_16S_2A6_Beever240927_S137,Wooliver,16S,2A6,Beever240927,NA,S137,2,A,6,66,16S_Drought_Five-species mix_R2_G-50,Drought,Five-species mix,R2,G-50,T90
111,Wooliver_16S_2B6_Beever240927_S138,Wooliver,16S,2B6,Beever240927,NA,S138,2,B,6,70,16S_Drought_No residue_R2_G-50,Drought,No residue,R2,G-50,T90
120,Wooliver_16S_2C6_Beever240927_S139,Wooliver,16S,2C6,Beever240927,NA,S139,2,C,6,74,16S_Drought_Wheat_R2_G-50,Drought,Wheat,R2,G-50,T90
129,Wooliver_16S_2D6_Beever240927_S140,Wooliver,16S,2D6,Beever240927,NA,S140,2,D,6,78,16S_Drought_Wheat-clover mix_R2_G-50,Drought,Wheat-clover mix,R2,G-50,T90
