"","Var1","Freq","percentage"
"482","Ferriphaselus",5,0
"483","Ferrithrix",10,0
"484","Ferritrophicum",70,0.01
"485","Ferrovibrio",77,0.01
"486","Ferrovum",74,0.01
"487","Ferruginibacter",1343,0.17
"488","Ferruginivarius",117,0.01
"489","Fervidicella",125,0.02
"490","Fibrella",17,0
"491","Fictibacillus",135,0.02
"492","Filimonas",17,0
"493","Filobacterium",1,0
"494","Filomicrobium",44,0.01
"495","Fimbriiglobus",7201,0.89
"496","Fimbriimonas",50,0.01
"497","Flaviaesturariibacter",47,0.01
"498","Flavihumibacter",205,0.03
"499","Flavilitoribacter",58,0.01
"500","Flavimobilis",1,0
"501","Flavisolibacter",1246,0.15
"502","Flavitalea",1211,0.15
"503","Flavobacterium",1934,0.24
"504","Flavonifractor",1,0
"505","Flexibacter",2,0
"506","Flexithrix",3,0
"507","Flindersiella",69,0.01
"508","Flintibacter",2,0
"509","Fluviicoccus",1,0
"510","Fluviicola",216,0.03
"511","Fluviispira",96,0.01
"512","Fodinicola",6,0
"513","Fodinicurvata",1,0
"514","Fontibacillus",108,0.01
"515","Fonticella",61,0.01
"516","Fontimonas",52,0.01
"517","Formivibrio",93,0.01
"518","Fournierella",15,0
"519","Frankia",199,0.02
"520","Frateuria",103,0.01
"521","Friedmanniella",6,0
"522","Frigoribacterium",26,0
"523","Frisingicoccus",1,0
"524","Frondihabitans",7,0
"525","Fudania",1,0
"526","Fulvimarina",15,0
"527","Fulvimonas",12,0
"528","Fulvivirga",79,0.01
"529","Gaiella",26030,3.23
"530","Galactobacter",8,0
"531","Gallionella",42,0.01
"532","Gandjariella",9,0
"533","Gayadomonas",3,0
"534","Gellertiella",8,0
"535","Geminicoccus",501,0.06
"536","Geminisphaera",1,0
"537","Gemmata",999,0.12
"538","Gemmatimonas",3535,0.44
"539","Gemmatirosa",4169,0.52
"540","Gemmobacter",7,0
"541","Geoalkalibacter",6,0
"542","Geobacter",1490,0.18
"543","Geodermatophilus",630,0.08
"544","Geofilum",2,0
"545","Geomicrobium",78,0.01
"546","Geomonas",283,0.04
"547","Geopsychrobacter",16,0
"548","Georgenia",163,0.02
"549","Georgfuchsia",54,0.01
"550","Geosporobacter",2,0
"551","Geothermobacter",68,0.01
"552","Geothermobacterium",3,0
"553","Geothermomicrobium",37,0
"554","Geothrix",173,0.02
"555","Giesbergeria",1,0
"556","Gimesia",413,0.05
"557","Glaciibacter",2,0
"558","Glaciimonas",9,0
"559","Gluconacetobacter",2,0
"560","Glycomyces",89,0.01
"561","Gordonia",16,0
"562","Gorillibacterium",486,0.06
"563","Gottschalkia",11,0
"564","Gracilibacter",742,0.09
"565","Granulibacter",7,0
"566","Granulicoccus",1,0
"567","Gryllotalpicola",8,0
"568","Gudongella",1,0
"569","Guggenheimella",24,0
"570","Guyparkeria",1,0
"571","Gynuella",1,0
"572","Halarsenatibacter",1,0
"573","Haliangium",1143,0.14
"574","Haliea",11,0
"575","Halioxenophilus",18,0
"576","Haliscomenobacter",102,0.01
"577","Halobacillus",33,0
"578","Halobacteriovorax",7,0
"579","Haloechinothrix",33,0
"580","Halofilum",2,0
"581","Haloimpatiens",25,0
"582","Halolactibacillus",33,0
"583","Haloplasma",41,0.01
"584","Halovulum",9,0
"585","Hamadaea",566,0.07
"586","Hansschlegelia",9,0
"587","Haoranjiania",11,0
"588","Harryflintia",14,0
"589","Hartmannibacter",1,0
"590","Hasllibacter",1,0
"591","Hathewaya",4,0
"592","Hazenella",3,0
"593","Heliimonas",2,0
"594","Heliothrix",50,0.01
"595","Hellea",2,0
"596","Hephaestia",5,0
"597","Herbaspirillum",63,0.01
"598","Herbiconiux",48,0.01
"599","Herbidospora",223,0.03
"600","Herbihabitans",11,0
"601","Herbinix",12,0
"602","Herminiimonas",28,0
"603","Herpetosiphon",132,0.02
"604","Hespellia",2,0
"605","Hoeflea",17,0
"606","Holdemania",1,0
"607","Holophaga",17,0
"608","Homoserinibacter",5,0
"609","Homoserinimonas",1,0
"610","Hoyosella",3,0
"611","Huakuichenia",3,0
"612","Hugenholtzia",18,0
"613","Humibacillus",29,0
"614","Hungatella",7,0
"615","Hyalangium",230,0.03
"616","Hydrocarboniclastica",8,0
"617","Hydrocarboniphaga",73,0.01
"618","Hydrogeniiclostridium",2,0
"619","Hydrogenispora",902,0.11
"620","Hydrogenoanaerobacterium",18,0
"621","Hydrogenophaga",11,0
"622","Hydrogenophilus",4,0
"623","Hydrotalea",7,0
"624","Hylemonella",26,0
"625","Hymenobacter",57,0.01
"626","Hyperthermus",1,0
"627","Hyphococcus",2,0
"628","Hyphomicrobium",1351,0.17
"629","Iamia",991,0.12
"630","Ichthyobacterium",2,0
"631","Ideonella",150,0.02
"632","Ignavibacterium",32,0
"633","Ihubacter",3,0
"634","Ilumatobacter",744,0.09
"635","Ilyomonas",76,0.01
"636","Immundisolibacter",18,0
"637","Imperialibacter",1,0
"638","Imtechella",2,0
"639","Indibacter",12,0
"640","Indiicoccus",1,0
"641","Inmirania",21,0
"642","Inquilinus",199,0.02
"643","Intestinibacillus",2,0
"644","Intestinibacter",5,0
"645","Intestinimonas",28,0
"646","Intrasporangium",405,0.05
"647","Iodidimonas",2,0
"648","Isoptericola",53,0.01
"649","Isosphaera",21,0
"650","Jahnella",1058,0.13
"651","Janibacter",37,0
"652","Janthinobacterium",21,0
"653","Jatrophihabitans",1523,0.19
"654","Jeotgalibaca",2,0
"655","Jeotgalibacillus",3,0
"656","Jiangella",2,0
"657","Jongsikchunia",3,0
"658","Kaistia",241,0.03
"659","Kallotenue",776,0.1
"660","Ketobacter",2,0
"661","Kibdelosporangium",80,0.01
"662","Kineobactrum",9,0
"663","Kineococcus",14,0
"664","Kineosporia",472,0.06
"665","Kineothrix",5,0
"666","Kinneretia",5,0
"667","Kiritimatiella",3,0
"668","Kitasatospora",692,0.09
"669","Klebsiella",9,0
"670","Klenkia",16,0
"671","Kluyvera",8,0
"672","Knoellia",22,0
"673","Kocuria",15,0
"674","Kofleria",6944,0.86
"675","Kosakonia",2,0
"676","Krasilnikovia",101,0.01
"677","Krasilnikoviella",5,0
"678","Kribbella",308,0.04
"679","Ktedonobacter",1242,0.15
"680","Kurthia",21,0
"681","Kutzneria",26,0
"682","Labedaea",19,0
"683","Labedella",3,0
"684","Labilibacter",22,0
"685","Labilithrix",3984,0.49
"686","Labrys",537,0.07
"687","Laceyella",3,0
"688","Lachnotalea",35,0
"689","Lacibacter",12,0
"690","Lacibacterium",192,0.02
"691","Lacimicrobium",2,0
"692","Lacipirellula",1164,0.14
"693","Lacisediminimonas",3,0
"694","Lacrimispora",177,0.02
"695","Lactococcus",3,0
"696","Lactonifactor",10,0
"697","Lacunisphaera",119,0.01
"698","Lapillicoccus",5,0
"699","Laribacter",5,0
"700","Larkinella",22,0
"701","Lautropia",30,0
"702","Lawsonibacter",5,0
"703","Leclercia",1,0
"704","Leeia",4,0
"705","Legionella",3820,0.47
"706","Leifsonia",219,0.03
"707","Lelliottia",1,0
"708","Lentibacillus",1,0
"709","Lentimicrobium",57,0.01
"710","Lentzea",370,0.05
"711","Leptolinea",114,0.01
"712","Leptonema",11,0
"713","Leptospira",31,0
"714","Leptothrix",16,0
"715","Leucobacter",10,0
"716","Levilinea",17,0
"717","Lewinella",1,0
"718","Liberibacter",1,0
"719","Lihuaxuella",32,0
"720","Limibacillus",5,0
"721","Limibaculum",3,0
"722","Limihaloglobus",7,0
"723","Limnobacter",6,0
"724","Limnochorda",21,0
"725","Limnoglobus",1416,0.18
"726","Limnohabitans",14,0
"727","Listeria",4,0
"728","Litoribacillus",6,0
"729","Litorilinea",1115,0.14
"730","Litorivivens",1,0
"731","Lonepinella",1,0
"732","Longibacter",5,0
"733","Longilinea",348,0.04
"734","Longimicrobium",1748,0.22
"735","Longirhabdus",12,0
"736","Longispora",71,0.01
"737","Longivirga",254,0.03
"738","Lottiidibacillus",4,0
"739","Luedemannella",840,0.1
"740","Luminiphilus",2,0
"741","Luteibacter",88,0.01
"742","Luteimicrobium",25,0
"743","Luteimonas",387,0.05
"744","Luteitalea",2744,0.34
"745","Luteolibacter",395,0.05
"746","Luteovulum",2,0
"747","Lutibaculum",4,0
"748","Lutispora",347,0.04
"749","Lysinibacillus",632,0.08
"750","Lysinimonas",26,0
"751","Lysobacter",1357,0.17
"752","Lyticum",51,0.01
"753","Magnetospira",14,0
"754","Magnetospirillum",52,0.01
"755","Magnetovibrio",3,0
"756","Mahella",1,0
"757","Mailhella",2,0
"758","Malonomonas",1,0
"759","Mangrovibacterium",8,0
"760","Mangroviflexus",2,0
"761","Mangrovihabitans",241,0.03
"762","Mangrovitalea",3,0
"763","Maribacillus",22,0
"764","Maricurvus",3,0
